Date,Open,High,Low,Close,Volume
19-Jan-14,56.2,56.2,54.7,55,4221582.1
19-Jan-14,36.9,37.45,36.75,37.45,803514.75
19-Jan-14,7.2,7.25,7.05,7.05,83498829.15
19-Jan-14,14148,14248,14100,14142.15,11978348.95
19-Jan-14,104.2,104.2,104.2,104.2,3792880
19-Jan-14,337.95,337.95,316.1,329.65,5055440.35
19-Jan-14,108.45,109.7,104.3,106.15,31408686.1
19-Jan-14,833.55,847.95,815,826.05,65215275.2
19-Jan-14,39.5,40.5,38.3,40.05,62419122.15
19-Jan-14,719.9,719.9,687.05,698,10305314.05
19-Jan-14,1105,1150,1101,1126.35,24166398.05
19-Jan-14,54.05,55.85,53.75,54.85,12479375.6
19-Jan-14,99,102,99,101.5,1008000
19-Jan-14,234.1,237.5,225.6,230.05,563994656.2
19-Jan-14,1540.55,1620,1512.6,1585.85,164166299.7
19-Jan-14,5401.05,5498.75,5401.05,5488.1,9290240
19-Jan-14,177,179.3,176,177.05,354495359.7
19-Jan-14,165,168.4,163.1,167.5,59086400.4
19-Jan-14,13,13,12.75,12.85,125454.75
19-Jan-14,61.8,61.8,61.75,61.8,43726.5
19-Jan-14,1428.25,1436.35,1411,1429.5,487063416.1
19-Jan-14,1480,1492.45,1428.05,1454.3,4497293.75
19-Jan-14,154,154.15,148.1,151.55,65632996.7
19-Jan-14,195.25,201,148.55,199.7,2737476386
19-Jan-14,414.8,435.45,414.8,433.45,3251362319
19-Jan-14,36.7,38.25,36.05,38.05,593485425.8
19-Jan-14,226.1,232.45,222.15,228.35,202872132.6
19-Jan-14,284.5,291.5,279,287.85,52432176
19-Jan-14,5.55,5.95,5.55,5.85,1072650.75
19-Jan-14,87,93.95,86,90.3,1242114.4
19-Jan-14,66.85,67,65,66.1,3798470.3
19-Jan-14,548.5,562,536.9,541.1,19663992.7
19-Jan-14,24.25,24.5,23.75,23.9,324776.1
19-Jan-14,76.3,80,73.85,77.9,3847357.2
19-Jan-14,295.9,295.95,285.7,289.7,69171986.9
19-Jan-14,280.35,297,276,289.8,51907249.85
19-Jan-14,63,64,62,63,709737.75
19-Jan-14,601.25,615,601.25,607,1586916.25
19-Jan-14,122,125,120.1,123.1,155390.8
19-Jan-14,126.5,126.5,121.5,123.25,1475585.7
19-Jan-14,116.15,114.3,114,116.4,1481570.75
19-Jan-14,34.5,34.5,32.45,33.25,4214600
19-Jan-14,334,369,323.4,342.05,9244282.45
19-Jan-14,384.05,389.95,366.1,372.6,25834224.05
19-Jan-14,272,284.95,272,272,143468.4
19-Jan-14,1581,1614,1554.65,1599.8,47749552.05
19-Jan-14,34.85,36.95,34.85,36.95,14610.8
19-Jan-14,449.5,472.5,444.95,463.95,154305317.7
19-Jan-14,224.5,246,224.5,240.05,1916700
19-Jan-14,50,51.5,48.55,50.6,1353600
19-Jan-14,146.05,147.1,144,146.2,4542660
19-Jan-14,1533.25,1567,1533.25,1560.05,246160375.7
19-Jan-14,311,319.65,301.75,311.35,32207460.85
19-Jan-14,49.85,50.3,47.25,50.2,2141200
19-Jan-14,81.1,81.1,81.1,81.1,81100
19-Jan-14,734.95,735,721,721.8,7420866.25
19-Jan-14,40,41,39.1,40.55,41761596.3
19-Jan-14,1477.75,1483.95,1467,1477.2,13084791.7
19-Jan-14,67.05,70,67.05,68.85,26421498.05
19-Jan-14,409.9,412.55,392,397.2,2780556.4
19-Jan-14,70,71.5,69.5,70.8,159946668.5
19-Jan-14,13.65,13.95,13.35,13.65,134639.5
19-Jan-14,62.6,64.8,61.05,63.45,401103547.1
19-Jan-14,656,663.95,641,652.5,2680773.6
19-Jan-14,95.9,95.9,84.3,90.15,3195012.95
19-Jan-14,2225,2261.05,2140.05,2214.95,44483149.85
19-Jan-14,715,724.75,703.25,716.9,7105566.05
19-Jan-14,198,199.45,192.75,194.35,114195150.4
19-Jan-14,445,445,430.2,433.6,3179357.2
19-Jan-14,30,30.45,28.55,28.6,259342.15
19-Jan-14,3.95,3.95,3.8,3.8,8910403.1
19-Jan-14,44.4,45.3,43.1,44.75,2281429.5
19-Jan-14,914.95,915,891,898.45,33769075.6
19-Jan-14,5.6,5.8,5.5,5.55,392723.05
19-Jan-14,834.6,835,820.3,825,219175406.3
19-Jan-14,1525.05,1525.05,1461.2,1489.8,7217417.65
19-Jan-14,276,276.55,266.4,268.6,524958933.4
19-Jan-14,43,43.75,40.95,41.9,2128000.8
19-Jan-14,31,32.35,28.8,29.35,3612889.45
19-Jan-14,615,628.15,611,612.45,3647054.9
19-Jan-14,27.05,27.3,26.5,26.85,5323479.05
19-Jan-14,72.3,73,69.35,71.3,162201486.4
19-Jan-14,55.95,56.75,55.35,56.5,106827543.2
19-Jan-14,13.2,13.8,13,13.15,3545979.05
19-Jan-14,660.3,680,650.5,673.5,58732934.4
19-Jan-14,6.4,6.7,6.3,6.35,38729.1
19-Jan-14,43.15,43.15,42,42.6,401649.2
19-Jan-14,30.5,30.95,29.65,29.65,4028555.5
19-Jan-14,28.05,29.9,27.35,28.25,4044654.25
19-Jan-14,1.3,1.35,1.3,1.35,283731
19-Jan-14,822.05,832.9,807,827.7,14229482.55
19-Jan-14,238.4,250,238.4,248,1342541.2
19-Jan-14,502,503.95,490,491.8,1654097.9
19-Jan-14,750,758.9,730,738.55,99710769.55
19-Jan-14,2409.8,2525,2350,2500.65,178597356.3
19-Jan-14,556,556,541.05,547.05,13586291.8
19-Jan-14,1116,1144,1115.9,1139.4,172981512.2
19-Jan-14,261.95,266,260.35,264.8,426611564.1
19-Jan-14,1371,1432,1345.1,1370,4459791.85
19-Jan-14,352.2,354.95,340.05,346.15,109424447.9
19-Jan-14,109.75,111.8,105.45,109.45,15015590.35
19-Jan-14,40.5,41.6,40.05,41.1,8744911.1
19-Jan-14,54.2,54.2,50.85,51.05,82414989.1
19-Jan-14,226.05,235.6,226.05,228.85,4275513.25
19-Jan-14,56.45,56.45,51.5,51.8,123621.7
19-Jan-14,165.05,170.95,163.8,168.45,35156859.5
19-Jan-14,282.5,282.55,260,282.25,6497914.9
19-Jan-14,77,78.2,75.1,75.8,4821793.8
19-Jan-14,490.2,495.9,483.1,488.95,4827240.9
19-Jan-14,45,45.85,44.25,44.7,1139367
19-Jan-14,98,105.95,97.5,103.85,11651969.65
19-Jan-14,54,55,53,54.4,629691.15
19-Jan-14,450.05,452.25,441.25,449.45,352052101.8
19-Jan-14,200,207.7,199.8,204.65,15232375.85
19-Jan-14,374.95,379,368,369.45,20743356.5
19-Jan-14,368.6,368.65,356.15,363.5,3636220.4
19-Jan-14,98.9,98.9,93.6,97,2899692.65
19-Jan-14,98.4,100,94.7,96.45,41055096.85
19-Jan-14,140,142,177.45,178.7,19284532.8
19-Jan-14,33.65,34.65,33.1,33.55,10453435.95
19-Jan-14,230,231,225,227.8,19982640.8
19-Jan-14,120.8,121.5,114.7,121.05,1176859654
19-Jan-14,304.85,306.85,280.15,285.25,17210176.45
19-Jan-14,1143.1,1195,1177.9,1149.9,858491571
19-Jan-14,588.95,589.3,576.9,583.05,38766571.6
19-Jan-14,501,529,501,514.7,4143624.4
19-Jan-14,5.3,5.4,5.1,5.2,1171279.95
19-Jan-14,584.95,584.95,565,568.9,11412028.15
19-Jan-14,835,841,835,837.5,13989314.7
19-Jan-14,115.7,117.4,115.55,116.55,22776566.7
19-Jan-14,1119.25,1139.35,1111,1114.65,5354194.2
19-Jan-14,149.2,150.85,140.2,145.6,125097369.6
